	link	source	type	text
f(x)=x+2
f, left parenthesis, x, right parenthesis, equals, x, plus, 2
.To understand what limits are, let's look at an example. We start with the function 
𝑓
(
𝑥
)
=
𝑥
+
2
f(x)=x+2
f, left parenthesis, x, right parenthesis, equals, x, plus, 2
.1
1
2
2
3
3
4
4
5
5
6
6
7
7
8
8
1
1
2
2
3
3
4
4
5
5
6
6
7
7
8
8
𝑦
y
𝑥
x
𝑓
f
Function f is graphed. The x-axis goes from 0 to 9. The graph consists of a line starting at (0, 2) and moving upward through (2,4) and (4, 6), and ending at (7,9).web+graphie://cdn.kastatic.org/ka-perseus-graphie/507e8f38d9db338d657f07b535ba2ed4a8a9d2061
1
2
2
3
3
4
4
5
5
6
6
7
7
8
8
1
1
2
2
3
3
4
4
5
5
6
6
7
7
8
8
𝑦
y
𝑥
x
𝑓
f
Function f is graphed. The x-axis goes from 0 to 9. The graph consists of a line starting at (0, 2) and moving upward through (2,4) and (4, 6), and ending at (7,9).web+graphie://cdn.kastatic.org/ka-perseus-graphie/507e8f38d9db338d657f07b535ba2ed4a8a9d206Function f is graphed. The x-axis goes from 0 to 9. The graph consists of a line starting at (0, 2) and moving upward through (2,4) and (4, 6), and ending at (7,9).web+graphie://cdn.kastatic.org/ka-perseus-graphie/507e8f38d9db338d657f07b535ba2ed4a8a9d206Function f is graphed. The x-axis goes from 0 to 9. The graph consists of a line starting at (0, 2) and moving upward through (2,4) and (4, 6), and ending at (7,9).web+graphie://cdn.kastatic.org/ka-perseus-graphie/507e8f38d9db338d657f07b535ba2ed4a8a9d206The limit of 
𝑓
f
f
 at 
𝑥
=
3
x=3
x, equals, 3
 is the value 
𝑓
f
f
 approaches as we get closer and closer to 
𝑥
=
3
x=3
x, equals, 3
. Graphically, this is the 
𝑦
y
y
-value we approach when we look at the graph of 
𝑓
f
f
 and get closer and closer to the point on the graph where 
𝑥
=
3
x=3
x, equals, 3
.The limit of 
𝑓
f
f
 at 
𝑥
=
3
x=3
x, equals, 3
 is the value 
𝑓
f
f
 approaches as we get closer and closer to 
𝑥
=
3
x=3
x, equals, 3
. Graphically, this is the 
𝑦
y
y
-value we approach when we look at the graph of 
𝑓
f
f
 and get closer and closer to the point on the graph where 
𝑥
=
3
x=3
x, equals, 3
.For example, if we start at the point 
(
1
,
3
)
(1,3)
left parenthesis, 1, comma, 3, right parenthesis
 and move on the graph until we get really close to 
𝑥
=
3
x=3
x, equals, 3
, then our 
𝑦
y
y
-value (i.e. the function's value) gets really close to 
5
5
5
.For example, if we start at the point 
(
1
,
3
)
(1,3)
left parenthesis, 1, comma, 3, right parenthesis
 and move on the graph until we get really close to 
𝑥
=
3
x=3
x, equals, 3
, then our 
𝑦
y
y
-value (i.e. the function's value) gets really close to 
5
5
5
.The graph of function f is animated. A point moves upward on the line from (1, 3) to (2.99, 4.99).
Created with Geogebra.The graph of function f is animated. A point moves upward on the line from (1, 3) to (2.99, 4.99).
Created with Geogebra.The graph of function f is animated. A point moves upward on the line from (1, 3) to (2.99, 4.99).The graph of function f is animated. A point moves upward on the line from (1, 3) to (2.99, 4.99).Created with Geogebra.Created with Geogebra.Similarly, if we start at 
(
5
,
7
)
(5,7)
left parenthesis, 5, comma, 7, right parenthesis
 and move to the left until we get really close to 
𝑥
=
3
x=3
x, equals, 3
, the 
𝑦
y
y
-value again will be really close to 
5
5
5
.Similarly, if we start at 
(
5
,
7
)
(5,7)
left parenthesis, 5, comma, 7, right parenthesis
 and move to the left until we get really close to 
𝑥
=
3
x=3
x, equals, 3
, the 
𝑦
y
y
-value again will be really close to 
5
5
5
.The graph of function f is animated. A point moves downward on the line from (5, 7) to (3.01, 5.01).
Created with Geogebra.The graph of function f is animated. A point moves downward on the line from (5, 7) to (3.01, 5.01).
Created with Geogebra.The graph of function f is animated. A point moves downward on the line from (5, 7) to (3.01, 5.01).The graph of function f is animated. A point moves downward on the line from (5, 7) to (3.01, 5.01).Created with Geogebra.Created with Geogebra.For these reasons we say that the limit of 
𝑓
f
f
 at 
𝑥
=
3
x=3
x, equals, 3
 is 
5
5
5
.For these reasons we say that the limit of 
𝑓
f
f
 at 
𝑥
=
3
x=3
x, equals, 3
 is 
5
5
5
.1
1
2
2
3
3
4
4
5
5
6
6
7
7
8
8
1
1
2
2
3
3
4
4
5
5
6
6
7
7
8
8
𝑦
y
𝑥
x
𝑓
f
The graph of function f has arrows pointing along the line, pointing up to the right and down to the left, respectively, pointing to point (3, 5).1
1
2
2
3
3
4
4
5
5
6
6
7
7
8
8
1
1
2
2
3
3
4
4
5
5
6
6
7
7
8
8
𝑦
y
𝑥
x
𝑓
f
The graph of function f has arrows pointing along the line, pointing up to the right and down to the left, respectively, pointing to point (3, 5).The graph of function f has arrows pointing along the line, pointing up to the right and down to the left, respectively, pointing to point (3, 5).The graph of function f has arrows pointing along the line, pointing up to the right and down to the left, respectively, pointing to point (3, 5).You might be asking yourselves what's the difference between the limit of 
𝑓
f
f
 at 
𝑥
=
3
x=3
x, equals, 3
 and the value of 
𝑓
f
f
 at 
𝑥
=
3
x=3
x, equals, 3
, i.e. 
𝑓
(
3
)
f(3)
f, left parenthesis, 3, right parenthesis
.You might be asking yourselves what's the difference between the limit of 
𝑓
f
f
 at 
𝑥
=
3
x=3
x, equals, 3
 and the value of 
𝑓
f
f
 at 
𝑥
=
3
x=3
x, equals, 3
, i.e. 
𝑓
(
3
)
f(3)
f, left parenthesis, 3, right parenthesis
.So yes, the limit of 
𝑓
(
𝑥
)
=
𝑥
+
2
f(x)=x+2
f, left parenthesis, x, right parenthesis, equals, x, plus, 2
 at 
𝑥
=
3
x=3
x, equals, 3
 is equal to 
𝑓
(
3
)
f(3)
f, left parenthesis, 3, right parenthesis
, but this isn't always the case. To understand this, let's look at function 
𝑔
g
g
. This function is the same as 
𝑓
f
f
 in every way except that it's undefined at 
𝑥
=
3
x=3
x, equals, 3
.So yes, the limit of 
𝑓
(
𝑥
)
=
𝑥
+
2
f(x)=x+2
f, left parenthesis, x, right parenthesis, equals, x, plus, 2
 at 
𝑥
=
3
x=3
x, equals, 3
 is equal to 
𝑓
(
3
)
f(3)
f, left parenthesis, 3, right parenthesis
, but this isn't always the case. To understand this, let's look at function 
𝑔
g
g
. This function is the same as 
𝑓
f
f
 in every way except that it's undefined at 
𝑥
=
3
x=3
x, equals, 3
.1
1
2
2
3
3
4
4
5
5
6
6
7
7
8
8
1
1
2
2
3
3
4
4
5
5
6
6
7
7
8
8
𝑦
y
𝑥
x
𝑔
g
Function g is graphed. The x-axis goes from 0 to 9. The graph consists of a line starting at (0, 2), moving upward through (2, 4) and an open circle at (3, 5), and ending at (7, 9).1
1
2
2
3
3
4
4
5
5
6
6
7
7
8
8
1
1
2
2
3
3
4
4
5
5
6
6
7
7
8
8
𝑦
y
𝑥
x
𝑔
g
Function g is graphed. The x-axis goes from 0 to 9. The graph consists of a line starting at (0, 2), moving upward through (2, 4) and an open circle at (3, 5), and ending at (7, 9).Function g is graphed. The x-axis goes from 0 to 9. The graph consists of a line starting at (0, 2), moving upward through (2, 4) and an open circle at (3, 5), and ending at (7, 9).Function g is graphed. The x-axis goes from 0 to 9. The graph consists of a line starting at (0, 2), moving upward through (2, 4) and an open circle at (3, 5), and ending at (7, 9).[What kind of a function is g anyway?][What kind of a function is g anyway?]Just like 
𝑓
f
f
, the limit of 
𝑔
g
g
 at 
𝑥
=
3
x=3
x, equals, 3
 is 
5
5
5
. That's because we can still get very very close to 
𝑥
=
3
x=3
x, equals, 3
 and the function's values will get very very close to 
5
5
5
.Just like 
𝑓
f
f
, the limit of 
𝑔
g
g
 at 
𝑥
=
3
x=3
x, equals, 3
 is 
5
5
5
. That's because we can still get very very close to 
𝑥
=
3
x=3
x, equals, 3
 and the function's values will get very very close to 
5
5
5
.1
1
2
2
3
3
4
4
5
5
6
6
7
7
8
8
1
1
2
2
3
3
4
4
5
5
6
6
7
7
8
8
𝑦
y
𝑥
x
𝑔
g
The graph of function g has arrows pointing along the line, pointing up to the right and down to the left, respectively, pointing to the open circle at (3, 5).1
1
2
2
3
3
4
4
5
5
6
6
7
7
8
8
1
1
2
2
3
3
4
4
5
5
6
6
7
7
8
8
𝑦
y
𝑥
x
𝑔
g
The graph of function g has arrows pointing along the line, pointing up to the right and down to the left, respectively, pointing to the open circle at (3, 5).The graph of function g has arrows pointing along the line, pointing up to the right and down to the left, respectively, pointing to the open circle at (3, 5).The graph of function g has arrows pointing along the line, pointing up to the right and down to the left, respectively, pointing to the open circle at (3, 5).So the limit of 
𝑔
g
g
 at 
𝑥
=
3
x=3
x, equals, 3
 is equal to 
5
5
5
, but the value of 
𝑔
g
g
 at 
𝑥
=
3
x=3
x, equals, 3
 is undefined! They are not the same!So the limit of 
𝑔
g
g
 at 
𝑥
=
3
x=3
x, equals, 3
 is equal to 
5
5
5
, but the value of 
𝑔
g
g
 at 
𝑥
=
3
x=3
x, equals, 3
 is undefined! They are not the same!That's the beauty of limits: they don't depend on the actual value of the function at the limit. They describe how the function behaves when it gets close to the limit.That's the beauty of limits: they don't depend on the actual value of the function at the limit. They describe how the function behaves when it gets close to the limit.PROBLEM 1
This is the graph of 
ℎ
h
h
.
1
1
2
2
3
3
4
4
5
5
6
6
7
7
-
2
-
2
-
3
-
3
-
4
-
4
-
5
-
5
-
6
-
6
-
7
-
7
1
1
2
2
3
3
4
4
5
5
6
6
7
7
-
2
-
2
-
3
-
3
-
4
-
4
-
5
-
5
-
6
-
6
-
7
-
7
𝑦
y
𝑥
x
ℎ
h
What is a reasonable estimate for the limit of 
ℎ
h
h
 at 
𝑥
=
3
x=3
x, equals, 3
?
Choose 1 answer:
Choose 1 answer:
(Choice A)   
2
2
2
A
2
2
2
(Choice B)   
3
3
3
B
3
3
3
(Choice C)   
4
4
4
C
4
4
4
(Choice D)   The limit doesn't exist
D
The limit doesn't exist

Check
ExplainPROBLEM 1
This is the graph of 
ℎ
h
h
.
1
1
2
2
3
3
4
4
5
5
6
6
7
7
-
2
-
2
-
3
-
3
-
4
-
4
-
5
-
5
-
6
-
6
-
7
-
7
1
1
2
2
3
3
4
4
5
5
6
6
7
7
-
2
-
2
-
3
-
3
-
4
-
4
-
5
-
5
-
6
-
6
-
7
-
7
𝑦
y
𝑥
x
ℎ
h
What is a reasonable estimate for the limit of 
ℎ
h
h
 at 
𝑥
=
3
x=3
x, equals, 3
?
Choose 1 answer:
Choose 1 answer:
(Choice A)   
2
2
2
A
2
2
2
(Choice B)   
3
3
3
B
3
3
3
(Choice C)   
4
4
4
C
4
4
4
(Choice D)   The limit doesn't exist
D
The limit doesn't exist

Check
ExplainThis is the graph of 
ℎ
h
h
.This is the graph of 
ℎ
h
h
.1
1
2
2
3
3
4
4
5
5
6
6
7
7
-
2
-
2
-
3
-
3
-
4
-
4
-
5
-
5
-
6
-
6
-
7
-
7
1
1
2
2
3
3
4
4
5
5
6
6
7
7
-
2
-
2
-
3
-
3
-
4
-
4
-
5
-
5
-
6
-
6
-
7
-
7
𝑦
y
𝑥
x
ℎ
h1
1
2
2
3
3
4
4
5
5
6
6
7
7
-
2
-
2
-
3
-
3
-
4
-
4
-
5
-
5
-
6
-
6
-
7
-
7
1
1
2
2
3
3
4
4
5
5
6
6
7
7
-
2
-
2
-
3
-
3
-
4
-
4
-
5
-
5
-
6
-
6
-
7
-
7
𝑦
y
𝑥
x
ℎ
hWhat is a reasonable estimate for the limit of 
ℎ
h
h
 at 
𝑥
=
3
x=3
x, equals, 3
?What is a reasonable estimate for the limit of 
ℎ
h
h
 at 
𝑥
=
3
x=3
x, equals, 3
?Choose 1 answer:
Choose 1 answer:
(Choice A)   
2
2
2
A
2
2
2
(Choice B)   
3
3
3
B
3
3
3
(Choice C)   
4
4
4
C
4
4
4
(Choice D)   The limit doesn't exist
D
The limit doesn't existChoose 1 answer:
Choose 1 answer:
(Choice A)   
2
2
2
A
2
2
2
(Choice B)   
3
3
3
B
3
3
3
(Choice C)   
4
4
4
C
4
4
4
(Choice D)   The limit doesn't exist
D
The limit doesn't exist2
2
22
2
23
3
33
3
34
4
44
4
4The limit doesn't existThe limit doesn't existThe limit doesn't existThe limit doesn't existWe also have a special notation to talk about limits. This is how we would write the limit of 
𝑓
f
f
 as 
𝑥
x
x
 approaches 
3
3
3
:We also have a special notation to talk about limits. This is how we would write the limit of 
𝑓
f
f
 as 
𝑥
x
x
 approaches 
3
3
3
:""The limit of...""
	
""...the function 
𝑓
...""


↘
	
↙


lim
⁡
𝑥
→
3
	
𝑓
(
𝑥
)


↗


""...as 
𝑥
 approaches 
3
.""
""The limit of...""
↘
x→3
lim
	​

↗
""...as x approaches 3.""
	​

""...the function f...""
↙
f(x)
	​The symbol 
lim
⁡
lim
limit
 means we're taking a limit of something.The symbol 
lim
⁡
lim
limit
 means we're taking a limit of something.The expression to the right of 
lim
⁡
lim
limit
 is the expression we're taking the limit of. In our case, that's the function 
𝑓
f
f
.The expression to the right of 
lim
⁡
lim
limit
 is the expression we're taking the limit of. In our case, that's the function 
𝑓
f
f
.The expression 
𝑥
→
3
x→3
x, \to, 3
 that comes below 
lim
⁡
lim
limit
 means that we take the limit of 
𝑓
f
f
 as values of 
𝑥
x
x
 approach 
3
3
3
.The expression 
𝑥
→
3
x→3
x, \to, 3
 that comes below 
lim
⁡
lim
limit
 means that we take the limit of 
𝑓
f
f
 as values of 
𝑥
x
x
 approach 
3
3
3
.PROBLEM 2
This is the graph of 
𝑓
f
f
.
1
1
2
2
3
3
4
4
5
5
6
6
7
7
-
2
-
2
-
3
-
3
-
4
-
4
-
5
-
5
-
6
-
6
-
7
-
7
1
1
2
2
3
3
4
4
5
5
6
6
7
7
-
2
-
2
-
3
-
3
-
4
-
4
-
5
-
5
-
6
-
6
-
7
-
7
𝑦
y
𝑥
x
𝑓
f
What is a reasonable estimate for 
lim
⁡
𝑥
→
6
𝑓
(
𝑥
)
x→6
lim
	​

f(x)
limit, start subscript, x, \to, 6, end subscript, f, left parenthesis, x, right parenthesis
 ?
Choose 1 answer:
Choose 1 answer:
(Choice A)   
−
5
−5
minus, 5
A
−
5
−5
minus, 5
(Choice B)   
−
3
−3
minus, 3
B
−
3
−3
minus, 3
(Choice C)   
6
6
6
C
6
6
6
(Choice D)   The limit doesn't exist
D
The limit doesn't exist

Check
ExplainPROBLEM 2
This is the graph of 
𝑓
f
f
.
1
1
2
2
3
3
4
4
5
5
6
6
7
7
-
2
-
2
-
3
-
3
-
4
-
4
-
5
-
5
-
6
-
6
-
7
-
7
1
1
2
2
3
3
4
4
5
5
6
6
7
7
-
2
-
2
-
3
-
3
-
4
-
4
-
5
-
5
-
6
-
6
-
7
-
7
𝑦
y
𝑥
x
𝑓
f
What is a reasonable estimate for 
lim
⁡
𝑥
→
6
𝑓
(
𝑥
)
x→6
lim
	​

f(x)
limit, start subscript, x, \to, 6, end subscript, f, left parenthesis, x, right parenthesis
 ?
Choose 1 answer:
Choose 1 answer:
(Choice A)   
−
5
−5
minus, 5
A
−
5
−5
minus, 5
(Choice B)   
−
3
−3
minus, 3
B
−
3
−3
minus, 3
(Choice C)   
6
6
6
C
6
6
6
(Choice D)   The limit doesn't exist
D
The limit doesn't exist

Check
ExplainThis is the graph of 
𝑓
f
f
.This is the graph of 
𝑓
f
f
.1
1
2
2
3
3
4
4
5
5
6
6
7
7
-
2
-
2
-
3
-
3
-
4
-
4
-
5
-
5
-
6
-
6
-
7
-
7
1
1
2
2
3
3
4
4
5
5
6
6
7
7
-
2
-
2
-
3
-
3
-
4
-
4
-
5
-
5
-
6
-
6
-
7
-
7
𝑦
y
𝑥
x
𝑓
f1
1
2
2
3
3
4
4
5
5
6
6
7
7
-
2
-
2
-
3
-
3
-
4
-
4
-
5
-
5
-
6
-
6
-
7
-
7
1
1
2
2
3
3
4
4
5
5
6
6
7
7
-
2
-
2
-
3
-
3
-
4
-
4
-
5
-
5
-
6
-
6
-
7
-
7
𝑦
y
𝑥
x
𝑓
fWhat is a reasonable estimate for 
lim
⁡
𝑥
→
6
𝑓
(
𝑥
)
x→6
lim
	​

f(x)
limit, start subscript, x, \to, 6, end subscript, f, left parenthesis, x, right parenthesis
 ?What is a reasonable estimate for 
lim
⁡
𝑥
→
6
𝑓
(
𝑥
)
x→6
lim
	​

f(x)
limit, start subscript, x, \to, 6, end subscript, f, left parenthesis, x, right parenthesis
 ?Choose 1 answer:
Choose 1 answer:
(Choice A)   
−
5
−5
minus, 5
A
−
5
−5
minus, 5
(Choice B)   
−
3
−3
minus, 3
B
−
3
−3
minus, 3
(Choice C)   
6
6
6
C
6
6
6
(Choice D)   The limit doesn't exist
D
The limit doesn't existChoose 1 answer:
Choose 1 answer:
(Choice A)   
−
5
−5
minus, 5
A
−
5
−5
minus, 5
(Choice B)   
−
3
−3
minus, 3
B
−
3
−3
minus, 3
(Choice C)   
6
6
6
C
6
6
6
(Choice D)   The limit doesn't exist
D
The limit doesn't exist−
5
−5
minus, 5−
5
−5
minus, 5−
3
−3
minus, 3−
3
−3
minus, 36
6
66
6
6The limit doesn't existThe limit doesn't existThe limit doesn't existThe limit doesn't existPROBLEM 3
Which expression represents the limit of 
𝑥
2
x
2
x, squared
 as 
𝑥
x
x
 approaches 
5
5
5
?
Choose 1 answer:
Choose 1 answer:
(Choice A)   
lim
⁡
5
2
lim5
2
limit, 5, squared
A
lim
⁡
5
2
lim5
2
limit, 5, squared
(Choice B)   
lim
⁡
𝑥
2
→
5
x
2
→5
lim
	​

limit, start subscript, x, squared, \to, 5, end subscript
B
lim
⁡
𝑥
2
→
5
x
2
→5
lim
	​

limit, start subscript, x, squared, \to, 5, end subscript
(Choice C)   
lim
⁡
𝑥
→
5
𝑥
2
x→5
lim
	​

x
2
limit, start subscript, x, \to, 5, end subscript, x, squared
C
lim
⁡
𝑥
→
5
𝑥
2
x→5
lim
	​

x
2
limit, start subscript, x, \to, 5, end subscript, x, squared
(Choice D)   
lim
⁡
𝑥
→
25
𝑥
x→25
lim
	​

x
limit, start subscript, x, \to, 25, end subscript, x
D
lim
⁡
𝑥
→
25
𝑥
x→25
lim
	​

x
limit, start subscript, x, \to, 25, end subscript, x

Check
ExplainPROBLEM 3
Which expression represents the limit of 
𝑥
2
x
2
x, squared
 as 
𝑥
x
x
 approaches 
5
5
5
?
Choose 1 answer:
Choose 1 answer:
(Choice A)   
lim
⁡
5
2
lim5
2
limit, 5, squared
A
lim
⁡
5
2
lim5
2
limit, 5, squared
(Choice B)   
lim
⁡
𝑥
2
→
5
x
2
→5
lim
	​

limit, start subscript, x, squared, \to, 5, end subscript
B
lim
⁡
𝑥
2
→
5
x
2
→5
lim
	​

limit, start subscript, x, squared, \to, 5, end subscript
(Choice C)   
lim
⁡
𝑥
→
5
𝑥
2
x→5
lim
	​

x
2
limit, start subscript, x, \to, 5, end subscript, x, squared
C
lim
⁡
𝑥
→
5
𝑥
2
x→5
lim
	​

x
2
limit, start subscript, x, \to, 5, end subscript, x, squared
(Choice D)   
lim
⁡
𝑥
→
25
𝑥
x→25
lim
	​

x
limit, start subscript, x, \to, 25, end subscript, x
D
lim
⁡
𝑥
→
25
𝑥
x→25
lim
	​

x
limit, start subscript, x, \to, 25, end subscript, x

Check
ExplainWhich expression represents the limit of 
𝑥
2
x
2
x, squared
 as 
𝑥
x
x
 approaches 
5
5
5
?Which expression represents the limit of 
𝑥
2
x
2
x, squared
 as 
𝑥
x
x
 approaches 
5
5
5
?Choose 1 answer:
Choose 1 answer:
(Choice A)   
lim
⁡
5
2
lim5
2
limit, 5, squared
A
lim
⁡
5
2
lim5
2
limit, 5, squared
(Choice B)   
lim
⁡
𝑥
2
→
5
x
2
→5
lim
	​

limit, start subscript, x, squared, \to, 5, end subscript
B
lim
⁡
𝑥
2
→
5
x
2
→5
lim
	​

limit, start subscript, x, squared, \to, 5, end subscript
(Choice C)   
lim
⁡
𝑥
→
5
𝑥
2
x→5
lim
	​

x
2
limit, start subscript, x, \to, 5, end subscript, x, squared
C
lim
⁡
𝑥
→
5
𝑥
2
x→5
lim
	​

x
2
limit, start subscript, x, \to, 5, end subscript, x, squared
(Choice D)   
lim
⁡
𝑥
→
25
𝑥
x→25
lim
	​

x
limit, start subscript, x, \to, 25, end subscript, x
D
lim
⁡
𝑥
→
25
𝑥
x→25
lim
	​

x
limit, start subscript, x, \to, 25, end subscript, xChoose 1 answer:
Choose 1 answer:
(Choice A)   
lim
⁡
5
2
lim5
2
limit, 5, squared
A
lim
⁡
5
2
lim5
2
limit, 5, squared
(Choice B)   
lim
⁡
𝑥
2
→
5
x
2
→5
lim
	​

limit, start subscript, x, squared, \to, 5, end subscript
B
lim
⁡
𝑥
2
→
5
x
2
→5
lim
	​

limit, start subscript, x, squared, \to, 5, end subscript
(Choice C)   
lim
⁡
𝑥
→
5
𝑥
2
x→5
lim
	​

x
2
limit, start subscript, x, \to, 5, end subscript, x, squared
C
lim
⁡
𝑥
→
5
𝑥
2
x→5
lim
	​

x
2
limit, start subscript, x, \to, 5, end subscript, x, squared
(Choice D)   
lim
⁡
𝑥
→
25
𝑥
x→25
lim
	​

x
limit, start subscript, x, \to, 25, end subscript, x
D
lim
